region	sector	unit
BG	Coke Oven Coke	M.EUR
BG	Gas Coke	M.EUR
BG	Coal Tar	M.EUR
BG	Motor Gasoline	M.EUR
BG	Aviation Gasoline	M.EUR
BG	Gasoline Type Jet Fuel	M.EUR
BG	Kerosene Type Jet Fuel	M.EUR
BG	Kerosene	M.EUR
BG	Gas/Diesel Oil	M.EUR
BG	Heavy Fuel Oil	M.EUR
BG	Refinery Gas	M.EUR
BG	Liquefied Petroleum Gases (LPG)	M.EUR
BG	Refinery Feedstocks	M.EUR
BG	Ethane	M.EUR
BG	Naphtha	M.EUR
BG	White Spirit & SBP	M.EUR
BG	Lubricants	M.EUR
BG	Bitumen	M.EUR
BG	Paraffin Waxes	M.EUR
BG	Petroleum Coke	M.EUR
BG	Non-specified Petroleum Products	M.EUR
BG	Nuclear fuel	M.EUR
BG	Plastics, basic	M.EUR
BG	Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	M.EUR
BG	N-fertiliser	M.EUR
BG	P- and other fertiliser	M.EUR
BG	Chemicals nec	M.EUR
BG	Charcoal	M.EUR
BG	Additives/Blending Components	M.EUR
BG	Biogasoline	M.EUR
BG	Biodiesels	M.EUR
BG	Other Liquid Biofuels	M.EUR
BG	Rubber and plastic products (25)	M.EUR
BG	Glass and glass products	M.EUR
BG	Secondary glass for treatment, Re-processing of secondary glass into new glass	M.EUR
BG	Ceramic goods	M.EUR
BG	Bricks, tiles and construction products, in baked clay	M.EUR
BG	Cement, lime and plaster	M.EUR
BG	Ash for treatment, Re-processing of ash into clinker	M.EUR
BG	Other non-metallic mineral products	M.EUR
BG	Basic iron and steel and of ferro-alloys and first products thereof	M.EUR
BG	Secondary steel for treatment, Re-processing of secondary steel into new steel	M.EUR
BG	Precious metals	M.EUR
BG	Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals	M.EUR
BG	Aluminium and aluminium products	M.EUR
BG	Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium	M.EUR
BG	Lead, zinc and tin and products thereof	M.EUR
BG	Secondary lead for treatment, Re-processing of secondary lead into new lead	M.EUR
BG	Copper products	M.EUR
BG	Secondary copper for treatment, Re-processing of secondary copper into new copper	M.EUR
BG	Other non-ferrous metal products	M.EUR
BG	Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals	M.EUR
BG	Foundry work services	M.EUR
BG	Fabricated metal products, except machinery and equipment (28)	M.EUR
BG	Machinery and equipment n.e.c. (29)	M.EUR
BG	Office machinery and computers (30)	M.EUR
BG	Electrical machinery and apparatus n.e.c. (31)	M.EUR
BG	Radio, television and communication equipment and apparatus (32)	M.EUR
BG	Medical, precision and optical instruments, watches and clocks (33)	M.EUR
BG	Motor vehicles, trailers and semi-trailers (34)	M.EUR
BG	Other transport equipment (35)	M.EUR
BG	Furniture; other manufactured goods n.e.c. (36)	M.EUR
BG	Secondary raw materials	M.EUR
BG	Bottles for treatment, Recycling of bottles by direct reuse	M.EUR
BG	Electricity by coal	M.EUR
BG	Electricity by gas	M.EUR
BG	Electricity by nuclear	M.EUR
BG	Electricity by hydro	M.EUR
BG	Electricity by wind	M.EUR
BG	Electricity by petroleum and other oil derivatives	M.EUR
BG	Electricity by biomass and waste	M.EUR
BG	Electricity by solar photovoltaic	M.EUR
BG	Electricity by solar thermal	M.EUR
BG	Electricity by tide, wave, ocean	M.EUR
BG	Electricity by Geothermal	M.EUR
BG	Electricity nec	M.EUR
BG	Transmission services of electricity	M.EUR
BG	Distribution and trade services of electricity	M.EUR
BG	Coke oven gas	M.EUR
BG	Blast Furnace Gas	M.EUR
BG	Oxygen Steel Furnace Gas	M.EUR
BG	Gas Works Gas	M.EUR
BG	Biogas	M.EUR
BG	Distribution services of gaseous fuels through mains	M.EUR
BG	Steam and hot water supply services	M.EUR
BG	Collected and purified water, distribution services of water (41)	M.EUR
BG	Construction work (45)	M.EUR
BG	Secondary construction material for treatment, Re-processing of secondary construction material into aggregates	M.EUR
BG	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	M.EUR
BG	Retail trade services of motor fuel	M.EUR
BG	Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)	M.EUR
BG	Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)	M.EUR
BG	Hotel and restaurant services (55)	M.EUR
BG	Railway transportation services	M.EUR
BG	Other land transportation services	M.EUR
BG	Transportation services via pipelines	M.EUR
BG	Sea and coastal water transportation services	M.EUR
BG	Inland water transportation services	M.EUR
BG	Air transport services (62)	M.EUR
BG	Supporting and auxiliary transport services; travel agency services (63)	M.EUR
BG	Post and telecommunication services (64)	M.EUR
BG	Financial intermediation services, except insurance and pension funding services (65)	M.EUR
BG	Insurance and pension funding services, except compulsory social security services (66)	M.EUR
BG	Services auxiliary to financial intermediation (67)	M.EUR
BG	Real estate services (70)	M.EUR
BG	Renting services of machinery and equipment without operator and of personal and household goods (71)	M.EUR
BG	Computer and related services (72)	M.EUR
BG	Research and development services (73)	M.EUR
BG	Other business services (74)	M.EUR
BG	Public administration and defence services; compulsory social security services (75)	M.EUR
BG	Education services (80)	M.EUR
BG	Health and social work services (85)	M.EUR
BG	Food waste for treatment: incineration	M.EUR
BG	Paper waste for treatment: incineration	M.EUR
BG	Plastic waste for treatment: incineration	M.EUR
BG	Intert/metal waste for treatment: incineration	M.EUR
BG	Textiles waste for treatment: incineration	M.EUR
BG	Wood waste for treatment: incineration	M.EUR
BG	Oil/hazardous waste for treatment: incineration	M.EUR
BG	Food waste for treatment: biogasification and land application	M.EUR
BG	Paper waste for treatment: biogasification and land application	M.EUR
BG	Sewage sludge for treatment: biogasification and land application	M.EUR
BG	Food waste for treatment: composting and land application	M.EUR
BG	Paper and wood waste for treatment: composting and land application	M.EUR
BG	Food waste for treatment: waste water treatment	M.EUR
BG	Other waste for treatment: waste water treatment	M.EUR
BG	Food waste for treatment: landfill	M.EUR
BG	Paper for treatment: landfill	M.EUR
BG	Plastic waste for treatment: landfill	M.EUR
BG	Inert/metal/hazardous waste for treatment: landfill	M.EUR
BG	Textiles waste for treatment: landfill	M.EUR
BG	Wood waste for treatment: landfill	M.EUR
BG	Membership organisation services n.e.c. (91)	M.EUR
BG	Recreational, cultural and sporting services (92)	M.EUR
BG	Other services (93)	M.EUR
BG	Private households with employed persons (95)	M.EUR
BG	Extra-territorial organizations and bodies	M.EUR
CY	Paddy rice	M.EUR
CY	Wheat	M.EUR
CY	Cereal grains nec	M.EUR
CY	Vegetables, fruit, nuts	M.EUR
CY	Oil seeds	M.EUR
CY	Sugar cane, sugar beet	M.EUR
CY	Plant-based fibers	M.EUR
CY	Crops nec	M.EUR
CY	Cattle	M.EUR
CY	Pigs	M.EUR
CY	Poultry	M.EUR
CY	Meat animals nec	M.EUR
CY	Animal products nec	M.EUR
CY	Raw milk	M.EUR
CY	Wool, silk-worm cocoons	M.EUR
CY	Manure (conventional treatment)	M.EUR
CY	Manure (biogas treatment)	M.EUR
CY	Products of forestry, logging and related services (02)	M.EUR
CY	Fish and other fishing products; services incidental of fishing (05)	M.EUR
CY	Anthracite	M.EUR
CY	Coking Coal	M.EUR
CY	Other Bituminous Coal	M.EUR
