region		FR	FR	FR	FR	FR	FR	FR	Europe	Europe	Europe	Europe	Europe	Europe	Europe	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	RoW	RoW	RoW	RoW	RoW	RoW	RoW
category		Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)
Europe	Transport services	16238.8214556	0	1578.61403784	387.79944415	63.2085932982	0	0	241291.310724	326.487471667	21107.0496085	2224.9743686	652.132667476	0	0	5041.22909635	67.4569814716	209.056000518	1540.97429183	77.5648283813	0	0	32186.0067376	94.1200269432	107.365263638	335.533670862	150.975479436	0	0	6785.77735149	9.92078376198	82.5244893098	59.9291589883	89.1559359812	0	0
Europe	Composite	0	0	0	0	0	0	0	3038878.56103	444754.627773	1821968.14286	395230.005421	14111.2062685	0	0	44667.4490088	3302.78151478	4066.68165223	1214.57337345	1758.10803632	0	0	167614.736064	6285.33875205	12483.2575509	20077.7429725	1836.498355	0	0	54729.4523459	1219.47907315	6255.96633829	25993.9297587	277.293767582	0	0
BRICS	Agriculture	0	0	0	0	0	0	0	3242.7093408	5.9555086682	23.0777386107	91.5123011226	139.833047305	0	0	353507.483085	42727.3655946	33990.6127916	96613.4584151	32012.9247046	0	0	3571.01728913	0.226268628529	22.7335465716	81.2080371613	110.39219485	0	0	9845.10125077	0.0927934677688	7.90548366452	386.029196454	12.8580773778	0	0
BRICS	Crude coal	0	0	0	0	0	0	0	164.90930363	0.498445073787	7.76507582877	0.134099557956	7.44549230225	0	0	240.615276062	69.4600030679	75.8641149734	5.02104751221e-08	339.67744011	0	0	7.95995124985	0.00189181248533	69.3242477944	0.0141280231213	9.14591227594	0	0	576.250925728	0.00353539344437	1.17898053047	5.91511737827	0.0436948778727	0	0
BRICS	Crude oil	0	0	0	3.08135869053e-07	1.48359414193	0	0	0	0	0	23.1705813003	8.70074839421	0	0	0	162.260491448	511.319082636	0	1526.33016753	0	0	0	0	0	160.803944638	2.74614976363	0	0	0	6.65811442654e-07	7.88520376926e-05	458.125155472	3.20637812134	0	0
BRICS	Natural gas	0	0	0	0	0	0	0	0	0	0	17.4248855001	2485.1159757	0	0	9543.01303515	291.98942434	700.490006641	1.70368436383e-10	2704.12502012	0	0	2.31717707811e-08	0	0	0.237022776413	0.0535221758378	0	0	1030.25496482	5.61932914531e-05	0.0624824685191	1774.32731064	3357.85311551	0	0
BRICS	Extractive industry	0	0	0	0	12.381703241	0	0	83.2119872742	0	0.0455756290306	3.3088110793	473.305494257	0	0	875.583490958	160.549055264	410.34604214	0	6351.71519209	0	0	8.75371037105	0.0161358314329	0.00295887865518	48.1368203721	47.7775896413	0	0	25.7296753929	5.26825466075e-05	15.4754417901	1.87016357675	100.104461728	0	0
BRICS	Biomass_industry	0	0	0	0	0	0	0	5387.78147054	21.5537431837	12.6693329792	196.890061883	150.958620519	0	0	648011.555279	4865.32896361	9986.82864587	997.651890925	43285.0994839	0	0	19573.3831713	1.19023036454	18.1674170692	151.126872589	1109.94423459	0	0	59873.7349148	1.66386198561	449.670221852	2738.94791943	16.9331946652	0	0
BRICS	Clothing	0	0	0	0	0	0	0	28016.2719566	24.028234844	33.9744526635	143.000107191	196.796311398	0	0	293842.298673	3068.32137354	3133.21249366	1558.04099271	19363.3576149	0	0	96610.4232886	0	22.820183708	218.553239819	473.951102385	0	0	88149.7161761	0.715695019306	14.4599916664	3433.11206645	406.044913691	0	0
BRICS	Heavy_industry	0	0	0	0	0	0	0	5084.53802446	52.4743621692	1187.25884795	209.763753285	821.332272926	0	0	98975.5496496	2250.68444306	2760.54846227	16216.6769656	69469.6909018	0	0	27766.0795918	789.810905263	962.313173066	397.728217035	907.310756472	0	0	71515.0045759	92.6133481108	68.6565603094	1808.71908521	658.886054834	0	0
